Русское слово,Ительменское слово
старший брат,aʎa сущ
сестре,aʎa сущ
старый,it'enowan прил с.; it'eʔan прил с.; kpetsaknan прил; qaʔt'anan прил; staroj прил; utxlaχ прил
старый (пожилой) мужчина,kχeqateknen сущ
старый (пожилой) человек,metxlaχ сущ
старый большой лахтак,qleqaməŋ сущ
старый гусь,χeqsas сущ
старый дом,kistaj сущ
старый медведь,eɬewjuq сущ
"старый, заброшенный дом",kistaqol сущ
старьё,warnasχq сущ
ствол,uʔ сущ
стебель,upsχ сущ
стебля кипрея часть,konsx сущ
стегать,tpəll- п1; č'aptk'ol- п1; č'aptk'olsxen- п1
стекло,stekloʔ сущ
стеклянный,steklaʔan прил
стелить постель,aɲts- неп; aɲts- п1; stiʔɬ- п1
стелить(ся),stiʔɬ- неп
стелиться,aɲts- неп
стелька,steʔnŏŋ сущ
стелька из травы,č'uneʔn сущ
русско-ительменский индекс,č'oneʔɬ- неп
ных горбылей тонких жердей,utχzuʔneʔn сущ
стеречь,inenju- неп; ŋiti- п1
стеснительный,kskozolaχ прил
стесняться,kskozoʔɬ- неп; ŋeskla- неп с.; toŋrepɬ- неп; tormaʔɬ- неп
стирать,inləməɬ- неп; stiraʔɬ- неп
сто,tuʔus числ
столб,upew сущ; xqoč сущ
столовая,nowaʔɬnom сущ; nuknen kist сущ
стонать,eŋalelet- неп
сторож,k'anxčoʔɬʔan сущ
сторожить,inju- п1; injusxen- п1
сторона,ʷkasoŋ сущ
стоянка,onmenom сущ
стоять,tχzu- неп
стоять прочно,tχzoʔŋe- неп
стоячий баран юрты,krakwa сущ
страдание от голода,čeqsxes сущ
страдать,čeqsxe- неп; čeqsxezo- неп
страдать душевно,nitasxen- неп
страна,səmt сущ
страшно,ʷkɬijaki нареч
страшный,ʷijakilaχ прил
стрел,apɨlʐakan сущ
стрела,kaɬf сущ с.; kaɬx сущ
стрела тупая,tilʂkur сущ
стрелы делать,kaɬxɬ- неп
стрелять,ɬot- неп; ɬot- п1; ɬotzo- неп; ɬotzo- п1
стремиться,fseʔɬ- неп
стриж,atk'aʎačχ сущ; koɬxančik сущ
стричь,ənmi- п1; ənmit- п1
стричься,im- неп
строгать,ɬk'l- п1; ɬk'let- п1
строение,mawtanŏŋ сущ
строить,sk- п1
строить дом,ɬtaroŋ- неп
строить себе дом,ɬewzi- неп
строиться,ɬewzi- неп; tekej- неп
стропило,qesp сущ
стругать,fek'e- п1
стряпать,kuke- неп
стряпать в большом количестве,kokazo- неп
студень,filk'filk'ečχ сущ
стукаться,itɬqesxen- неп
стул,ɬawəlnom сущ; ɬanom сущ; stul сущ
ступать,anst'wolzo- неп
ступать ногой,anst'wol- неп
ступенька,emeneŋ сущ
ступенька лестницы,amanəm сущ
стучать,pok'ɬ- неп; pok'ok'a- неп; stukaɬ- неп; ənxerwerwe- п1
стучаться,xirwirwi- неп
стыдить,ənskozowa- п1
стыдиться,kskozoʔɬ- неп
стыдливый,kskozolaχ прил
стыдно,kskozo межд
сугроб,eʔle сущ
судить,qeqč'oʔɬ- п1
судья,anqeqč'oʔɬkaɬχ сущ
суетиться,sojeteʔɬ- неп
сужать,ənquɲŋ- п1
сужаться,quɲse- неп
сук,sŋak сущ; č'ənq сущ
сука,ŋiqsχ сущ
суксук,suqsuq сущ
сумка,mask'el сущ; serwanŏŋ сущ
сумка для рукоделия,trudunuska сущ
сунуть куда-то наскоро,namzŋa- п1
суп,iɬq сущ
суп есть,iɬqe- неп
суровый,k'anxt'ɬŋaʔɬʔan прил
сустав,loplop сущ; ʎopačχ сущ
сустав вправлять,anzwa- п1
сухая рыбья головка,lek'ul сущ
сухо,k'isxq нареч
сухое место,k'esxk'esx сущ
сухое рыбье мясо,tχisum сущ
сухожилие,sitɬ сущ
сухой,k'izwilaχ прил
сухой паек,sisxeŋeč сущ
сучить жильные нитки,sχetɬeʔɬ- неп
сучок,č'ənq' сущ
сушилка,itewom сущ
сушить,nik'izwi- неп; ənk'izwi- п1; ənk'izwit- п1
существовать,it- неп; itkeʔɬ- неп
сходить,ənxɬk- неп
сходить (и вернуться),inxɬ- неп
сходить и вернуться,ənxɬk- неп
сходить с ума,d'ekowaʔɬ- неп
счастливый,qečilaχ прил
считать,aɲɬneʔɬ- неп; ɬni- п1
и ягоды,meɬqew сущ
съедобный корень,χuʔŋunuŋ сущ; əsk сущ
съеживаться,k'fs- неп; peqse- неп; pesčkɬ- неп
съездить,əlʔe- п2
сынишчонка,p'eʔaj сущ
сыпать,ins- п1; nepeŋeʔɬ- неп
сыпаться,čxiŋ- неп; čχeŋi- неп
сыпь,esx сущ
сыпью покрываться,esxti- неп
сыреть,čk'ečk'ete- неп
сырое место,čk'emt сущ; čk'ečk' сущ
сырой,čqlaχ прил
сырой жир,xamɬx сущ
сырой жир морского зверя,qəlk' сущ
сырость,čk'ečk' сущ
сытно есть,čχamɬ- неп
сюда,wotk нареч с.; wotkoŋ нареч с.; tke нареч
табак,ŋičk сущ; tawak сущ
табак жевательный,proska сущ
табак жевать,tawako- неп
таз,aŋaŋč сущ
тайком,ameɬaŋ нареч; fiɲwe нареч; xiʔnere нареч
тайна,ameɬas сущ
тайный,ameɬaŋlaχ прил
так,wonk нареч с.; nwonke нареч; ŋonke нареч
так как,jaəm союз; pəl предл
также,lem нареч; ŋonke нареч
таким образом,nwonke нареч
такой,xejnŋin прил
талия,setzanom сущ
тальник,č'aal сущ; č'ewal сущ;
твой,knin мест
те,nweʔn мест
тебе,knanke мест
тебя,kəzza мест
теленок,qejuč сущ; qeŋučχ сущ
телиться;,awzat- неп
тело,kilwiɬχ сущ; uwik сущ; uwikečχ сущ
телятина,qeŋutɬ сущ
темечко,fiɬk'ečχ сущ
темнеть,txun- неп
темно,txunq нареч
темнота,txuntxun сущ
темный,txunlaχ прил
темя,ktxeɬxən сущ
тень,fet'ɬfet'ɬ сущ
теперь,neʔn нареч
теплеть,omsa- неп
тепло,omq нареч; omʔom сущ
теплое место,omʔom сущ
тёплый,omlaχ прил
тереть,tozazo- п1; tozazoʔɬ- неп
тщательно,tozazoʔɬ- неп
терпеть тэрпэт,iɬ- п1; člaʔna- п1; č'laʔ- п1
терпкий,ik'sxulaχ прил; kst'laχ прил č'eč'em сущ
терять,meč'- п1; nikɬfaʔɬ- неп;
тальниковый лес,lilum сущ
там,χi нареч; χoqen нареч; χu нареч
танцевать,istel- неп
таращиться,ənsli- п1; ənsli- п1
тарелка,torelkaʔ сущ
таскать кого-либо за волосы,k'emmatzo- п2
тащить,k'ezu- п1; stat- п1; stil- п1; txuŋ- п1 ю.
таять,čo- неп
твёрдо,ktaq нареч
твёрдый,ktlaχ tozaʔɬ- прил
терять сознание,tpla- неп
теснина,quɲquɲ сущ
тесниться,qunstel- неп
тесно,ʷquɲq нареч
тесное место,quɲquɲ сущ
теснота,quɲquɲ сущ
тесный,ʷquɲʎaχ прил
тесть,isxeʔsx сущ
тетива,siw сущ
тётя,ɬisx сущ
течь,wi- неп с.; fs- неп
течь быстро,fseʔɬ- неп
течь сильно,fsist- неп
теща,laχsχeʔsx сущ
Тигиль,Сamzat собств
Тигильская река,Йikiw собств
Тигильская сопка,Тsallan собств
тихий,iseŋlaχ прил
тихо,iseŋq нареч; telwečq нареч
ткань,činəp сущ
ткань сдваивать,pkat- п1
то,nweč мест; enu мест с.
товарищ,ipɬχ сущ
тогда,sxle союз
тоже,qunix союз; lem нареч
толкать,tnxen- п1; tniɬ- п1; tniɬ- п1; tniɬet- п1
толкаться,intniʔɬ- неп; intnesxen- неп; qepɬko- п1
толкаться шестами,iʔlewente- неп
толкуша,ʷqepx сущ; č'rutx сущ
ительменской кухни),silqsilq сущ
толкушу делать,silqeʔɬ- неп
толкушу есть,selqe- неп
толокно,toloknoʔ сущ
толочь,tala- п1; tχel- п1; enatala- неп с.
толпа,č'amzanlasχq сущ
жердь,qatolaχ сущ
толстеть,nomqen le- неп; tirwit- неп
толстый,qozlaχ прил; nomqen прил; tolstoj прил; χotlaχ прил
только,prostoj нареч; toɬka част; em нареч
только что,ins нареч; ifa нареч
томительный,qumislaχ прил
томиться,qumisi- неп; čeqsxe- неп
тонкий,kčoɲʎaχ прил; kčoŋʎaχ прил с.; oʎweʎaχ прил
тонким становиться,kčoɲse- неп
тонко,kčoɲq нареч
тонуть,kɬa- неп
тоньше сделать,ənkčoɲŋa- п1
топить,ojelat- неп; uji- неп; ənkɬa- п1; ənkɬaɬ- п1; əɲčkɬet- п1
топкий,filk'laχ прил
топко,utxq нареч
топкое место,utxʔutx сущ
топкое место на тундре,filk'filk' сущ
топленый жир,xamɬx сущ
топливо,ujiknen сущ
тополь,ʷɬiwumč сущ
топольник,ɬiwumčal сущ
топор,ʷkasf сущ
топорище,qaχqaχ сущ
топорощиться,səŋra- неп
топтать,anst'wat- неп; st'watsxen- п1; st'wate- п1
топь,utxʔutx сущ
торбаза,ikumpʎikeʔn сущ; panzatɬeʔn сущ; sareʔn сущ; ʷsfuʔn сущ; fifsuʔn сущ
торбаза детская,pekeʔɲč сущ
торбаза летние,čkatɬeʔn сущ
торбазов головки,t'ozmaʔn сущ
торбаса голенище,sχniŋ сущ
торговать,wiʎču- неп с.; insxiʔɬ- неп
тормозить,osxtel- неп; xaʔrat- неп
торопить,əɲčefi- п1
торопиться,wajla- неп с.; čefi- неп
тоска,makoʔɬes сущ
тоскливо,"kɬmako, kɬtejeŋeʔn нареч"
тосковать,makoʔɬ- неп; tejeŋ- неп
тот,nu мест; enu мест с.
"тот, кто дурит",aŋqansχlaχ прил
"тот, кто ест одни глаза",əlʔerem сущ
тотчас,qnaŋ нареч; qneŋ нареч с.
точило,pnawŏm сущ
точильный камень,wof сущ
точить,pnawzo- п1; činsi- п1
точно,čŋiɬ нареч
тошнить,wolwos- неп
тошнота,iʔlaket- неп
тощий,suxoj прил
трава,mənxč'al сущ; ʷsisal; sis сущ
трава пучка,eʔŋom сущ
трава сладкая,č'anx сущ
трава старая,petowal сущ
"трава, используемая для стелек",mənxč'al сущ
траву косить,koseʔɬ- неп
травы вид,zwosx сущ; sxom сущ
травяная корзина,ʎepxe сущ
травяная корзинка,č'ipsqel сущ
травяная стелька,č'uneʔn сущ
тратить,čzil- п1
тратиться,čzil- неп
трахнуть,əmptka- п2
требуха,nanqst'il сущ; č'imq'eʔn сущ
треска,ilaq сущ
третьего дня,xeqolank нареч
трехлетний лахтак,xekewex сущ; əmpkewex сущ
