слово,диалект,фонетический вариант,северный диалектный вариант,часть речи,грамматические пометы,инфинитив,множественное число,общее число,толкование,ссылка,,,,,,
кԓул-,,,,глагол,переходный1,кԓулэс,,,"жалеть кого-л., что-л., именно жалеть об утрате (кто-л. уехал навсегда или умер, или потерялась вещь)",,,,,,,
кԓуљу,,,,наречие,,,,,совсем мало,,,,,,,
кԓутԓ,,,,существительное,,,кԓутԓэʔн,,дупло (древесное),,,,,,,
кԓф-,,,,глагол,непереходный,кԓфкас,,,"выпадать, вываливаться (из какой-то емкости)",әнкԓфа-,,,,,,
кԓфиӈлэ,,кԓиӈлэ,,наречие,,,,,ночью,,,,,,,
кԓфәњчк,,,,наречие,,,,,"1) впереди, спереди; 2) перед (кем-л., чем-л.)",,,,,,,
кԓфәњчк ампэланом,,,,существительное,,,,,предсказание,,,,,,,
кԓфәњчкэ,,кԓфањчкэ,,наречие,,,,,вперед,,,,,,,
кԓфәњчкэ ԓо-,,,,глагол,переходный1,кԓфәњчкэ ԓос,,,предсказывать,,,,,,,
кԓфәњчкэ ск-,,,,глагол,переходный1,кԓфәњчкэ скәс,,,уготовить (предназначить),,,,,,,
кԓфәњчʔан,,кԓфањчʔан,,прилагательное,,,,,1) передний; 2) старший,,,,,,,
кԓха-,,,,глагол,непереходный,кԓхакэс,,,"тонуть, утонуть",,,,,,,
Кԓхитылан,,,,существительное,,,Кԓхитылаʔн,,"житель Паланы, коряк оседлый (< Кԓхит Палана, ныне центр корякского автономного округа)",,,,,,,
кԓхмас,,,,существительное,,,кԓхмазэʔн,,"еда для собак, опана русск.",,,,,,,
кԓхэњтԓэʔин,,,,прилагательное,,,,,проклятый,,,,,,,
кԓчила-,,,,глагол,непереходный,кԓчилакас,,,"упрямиться, лениться (собака, лошадь, человек)",,,,,,,
кԓчилаӽ,,,,прилагательное,,,,,ленивый; упрямый,,,,,,,
кԓчилаӽ,,,,существительное,,,,,лентяй,,,,,,,
кԓчилки иԓ-,,,,глагол,переходный1,кԓчилки иԓэс,,,"упрямиться, раздражать коголибо упрямством",,,,,,,
кԓчки,,әљчкэ,,междометие,,,,,"посмотри, послушай (привлечение внимания собеседника)",,,,,,,
кԓчлаӽ,,кљчлаӽ,,прилагательное,,,,,"кислый (гл. образом о рыбе), но также и любая ягода, капуста (квашенная)",,,,,,,
кԓчлэч,,,,существительное,,,кԓчлэʔн,,кислая рыбья головка (излюбленная пища ительменов),,,,,,,
кԓчэл-,,,,глагол,непереходный,кԓчэлкас,,,"лениться, упрямиться",,,,,,,
кԓчʼэвэзэ,,,,наречие,,,,,очень вкусно,,,,,,,
кԓәмчʼкʼэлы,,,,наречие,,,,,надоело,,,,,,,
кԓәӈӄсхи,,кԓиӈӄсӽки,,наречие,,,,,"очень больно, больно",,,,,,,
кԓэнкʼэӈʔин,,,,прилагательное,,,,,ручной (приручённый),,,,,,,
Кԓʔасаӈаʔн,,,,существительное,,,,,Всевышний,,,,,,,
кма,,,,местоимение,,,,,я; меня,,,,,,,
кмак,,,,существительное,,,кмакаʔн,,жук,,,,,,,
кмаӈан,,,,местоимение,,,,,оба,,,,,,,
˚кмилвин,,"кмәлвум, кмәлум",,местоимение,,,,,я сам (а),,,,,,,
кмәлвум,,кмәлвән,,местоимение,,,,,я сам (а),,,,,,,
˚кмэвич,,,,существительное,,,˚кмэвиʔн,,обруч; обод (бочки),,,,,,,
кмэлмэлʔан,,,,прилагательное,,,,,милосердный,,,,,,,
кмэӈэт-,,,,глагол,непереходный,кмэӈэткас,,,нянчить детей,,,,,,,
кмэси-,,,,глагол,непереходный,кмэсэкас,,,катиться (что-то круглое),,,,,,,
˚кмэсэм,,,,существительное,,,˚кмэсэʔн,,1) кольцо; 2) круг,,,,,,,
кнанкэ,,,,местоимение,,,,,тебе,,,,,,,
˚кнызим,,кнызим,,существительное,,,˚кнызэʔн,,берег (реки-моря),,,,,,,
кнын,,,,местоимение,,,,,"твой (твоя, твоё, твои)",,,,,,,
књига,,,,существительное,,,књигаʔн,,книга,,,,,,,
књискә,,,,существительное,,,књискэʔн,,"запасной желудок травоядных (олень, корова)",,,,,,,
кӈалос,,,,существительное,,,кӈалозэʔн,,семья,,,,,,,
кӈитэʔин,,,,прилагательное,,,,,бережливый,,,,,,,
кова-,,,,глагол,переходный1,ковас,,,"бить, колотить кого-либо",,,,,,,
ковозэл-,,,,глагол,непереходный,ковозэлкас,,,играть на дудочке,,,,,,,
ковом,,,,существительное,,,ковоʔн,,дудочка (национальный музыкальный инструмент из дерева),,,,,,,
ковос-,,,,глагол,непереходный,ковоскас,,,свернуться клубком,,,,,,,
ковчэг,,,,существительное,,,,,ковчег,,,,,,,
ковэрвәӈ,,,,существительное,,,,,нижняя часть голенища штанов,,,,,,,
койос-,,,,глагол,непереходный,койоскас,,,сомневаться,,,,,,,
коказо-,,,,глагол,переходный1,коказос,,,варить что-либо многократно или в большом количестве,,,,,,,
коказо-,,,,глагол,непереходный,коказокас,,,"варить, стряпать постоянно в большом количестве",,,,,,,
кокала-,,,,глагол,переходный1,кокалас,,,"сварить что-либо в небольшом количестве или сварить слегка, в течении недолгого времени",,,,,,,
кокала-,,,,глагол,непереходный,кокалакас,,,"варить, стряпать понемножку или в течении недолгого времени",,,,,,,
коката-,,,,глагол,переходный1,кокатас,,,пойти сварить что-либо,,,,,,,
коката-,,,,глагол,непереходный,кокатакас,,,"ходить варить, стряпать",,,,,,,
кокатазо-,,,,глагол,переходный1,кокатазос,,,ходить варить что-либо постоянно или в большом количестве,,,,,,,
кокатазо-,,,,глагол,непереходный,кокатазокас,,,"ходить варить, стряпать постоянно или в большом количестве",,,,,,,
кокачʼавиӈ,,кокачʼаныӈ,,существительное,,,кокачʼавэʔн,,"жердь, на которую вешают над костром чайники и котелки",,,,,,,
колӈән,,,,существительное,,,,,половина,,,,,,,
колодаʔ,,,,существительное,,,,,косяк дверной рамы,,,,,,,
кољэцка,,,,существительное,,,,,кольцо,,,,,,,
коԓтон,,,,существительное,,,коԓтоʔн,,"коробка (деревянная или берестяная) или пакет (теперь чаще всего пластиковый), где держат лемешину, жевательный табак",,,,,,,
коԓханчик,,,,существительное,,,коԓханчикэʔн,,стриж (соп.),,,,,,,
